numero_cuit,nombre_constructor,monto_total
30716288214,BENITO ROGGIO E HIJOS S.A. - ELEPRINT S.A. - ECODYMA S.A. - Unión Transitoria,3493444649.54
30696394217,CONSTRUMEX S.A.,3305316669.65
30716465477,JOSÉ J. CHEDIACK S.A.I.C.A.- Helport S.A.- Sabavisa S.A.- UT,2668000000
30608674833,MARCALBA S.A.,2110039340.4
30709107123,POSE SA,2041072823.94
33716488859,VIAL TEC S.A. - RICAVIAL S.A. UTE,1619997206.18
30716483971,Teximco S.A. - Tecnovias S.R.L. UTE,1554057934.08
30516500634,COARCO SA,1346006161.1299999
30693276760,CONCRET NOR S.A.,1182968140.42
33516294189,DYCASA Sociedad Anónima,1135079749.13
30518917125,RIVA SAIICFA,1134000000
33715778179,TRANSPORTADORA DE GAS DEL SUR S.A.-SACDE SOCIEDAD ARGENTINA DE CONSTRUCCION Y DESARROLLO ESTRATEGICO S.A.-UNION TRANSITORIA,946936952.92
30661756299,EVARSA- EVALUACION DE RECURSOS SA,692022162
30504536706,Contreras Hermanos S.A.I.C.I.F.A.G. y M.,613129687.9
30650833380,CONSTRUCCIONES INGEVIAL S.A.,556338915.1600001
30715915452,Constructora Lanusse SA – Emaco SA (UT),482729935.53
30585581247,INVAP S.E.,478362859.73
30516847472,PEITEL S.A.,390047904
30611995128,CONSTRUCCIONES ELECTROMECANICAS DEL OESTE S.A.,373373823.85
30574066537,Vialmani S.A.,353811632.99
30541068151,BRICONS S.A.I.C.F.I.,332919614.08
30547275531,HIDROCONST S.A.,315562000.3
30640854274,SABAVISA SA,286326313.9
30610809991,BRIALES S.A.,286127512.78
30688020715,JCR S.A.,276350000
30516492747,CONORVIAL SA,255207272.82
33506249029,Victor M. Contreras y Cia S.A,246741303
30505098095,Paolini Hnos S.A,219611536.2
30716044889,VIAL-TEC S.A.-KAVOS S.A.-CANALES MONES CAZON- UNION TRANSITORIA,157450783.94
30702250400,E.V.A. S.A.,140187602.12
30519113534,PENTAMAR S.A.,136000000
30716047624,COBA SRL - MATEO CONSTRUCTORA SRL UNION TRANSITORIA,111512184.38
33658043779,Bureau Veritas Argentina S.A.,94190763
30715519824,BOETTO Y BUTTIGLIENGO S.A. - ASTORI CONSTRUCCIONES S.A. - UT,86344053.78999999
30504635895,CONSTRUCTORA DOS ARROYOS S.A.,78516144.4
30709662674,CONSTRUCTORA VENETTO S.A.,71374564.87
30660523932,CODI S.R.L.,60296916.6
33711803039,iprar srl,43659754.839999996
30626695821,PROBIAR PRODUCTOS BITUMINOSOS DE ARGENTINA S.A.,40962332.11
30711376905,CONAL S.A.,38693665.73
30614969659,Coince Bahía S.A,37772260.08
30712097996,VILLAREX SA,32655528.69
30607451369,SIAT S.A.,25165391.450000003
30709160091,D&MA S.A.,18300312.21
30530589265,M. ROYO S.A.C.I.I.F. Y F.,18284467.33
30550815997,"SIDERCA S.A,I,C,",10614509.1
30710210418,PROYECTO A S.R.L.,10048147.79
30710350678,INDO S.A.,9565676.32
30501598131,Industrias Juan F. Secco S.A,8161307.11
30714487309,ALTAMIRANO & PALACIOS S.A.,5780032.91
30657536551,DEMOLICIONES MITRE SRL,847494.11
